job_title,job_location,company_name,job_summary,post_date,extract_date,job_salary,posting_url,description_text,keywords
Software Developer II,"Manchester, NH",Southern New Hampshire University,"Experience in the entire software development lifecycle.
The Software Developer is responsible for analyzing, designing, developing, troubleshooting and…",11 days ago,2020-11-09,,http://www.indeed.com/rc/clk?jk=c3c1c0fa0e121e48&fccid=10119bc008fd8b8d&vjs=3,"Southern New Hampshire University is currently seeking a Software Developer II specializing in the integration of data between all university systems for our Department of Information Technology Solutions (ITS). The Software Developer is responsible for analyzing, designing, developing, troubleshooting and documenting solutions to business needs throughout the entire phase of the development cycle.. Essential duties and responsibilities of this position include:. Uses tools such as Visual Studio, Eclipse, SSMS to design and develop solutions based on business requirements documents. Leads development efforts on products or product features. Provides accurate estimates on project tasks. Works in an Agile methodology on a highly proficient Scrum team. Participates in all Agile ceremonies: All Team Planning, Daily Scrum, Refinement, Sprint Review, and Retrospective. Researches and provides technical solutions for complex design challenges. Applies best practices and standards in all solutions. Owns or co-owns products, can identify opportunities for improvements and bugs. Leads peer and code reviews. Minimum Qualifications:. 5 – 10 Years of experience. Bachelor's in Computer Science, Mathematics, Engineering or equivalent experience in lieu of degree acceptable. Experience with Higher Education software products like Banner, Colleague, Brightspace. Experience writing Object Oriented code using C#/JAVA. Experience with RESTful web services. Experience developing integrations using REST with JSON, SOAP with XML, or GRAPHQL. Experience with MuleSoft. Experience building custom solutions using ASP.NET/MVC. Experience with JavaScript/JQuery. Experience with Microsoft SQL, Oracle, Azure Cosmos. Proficiency writing queries, stored procedures for SQL Server. Experience with Source Control systems such as Microsoft TFS, Azure DevOps, GIT. Experience in the entire software development lifecycle. Must be detail-oriented and logical. Excellent problem solving and analytical skills. Strong verbal communication skills. Ability to keep up with new business and technical concepts. Ability to learn new skills through independent research. Able to work independently and in team environment. Must display a positive attitude. Strong understanding of Agile Frameworks (Kanban/Scrum). Work Hours:. . Typically Monday through Friday, 8:00am to 4:30pm with flexibility to meet business demands as needed.. A background check is required for employment. Please submit a cover letter, in addition to your resume, with your application.. Why Join SNHU?. . Ours is a dynamic environment where innovation is encouraged—and ideas are welcomed. We believe in one another’s potential, and we focus on creating a positive community where collaboration, belonging, and growth are valued.. . SNHU employees are a team in every sense. Separately, we understand that each individual brings unique experiences, perspectives, and ideas to create a vibrant work environment. Together we share common values of honesty, acceptance, and accountability working as a unified force toward a common goal: to transform the lives of learners.. . As a global leader in education, we strive for a workforce that reflects the individual differences of our learning community. We believe that our employees can be their best selves when they can be their true selves. Therefore, we are committed to cultivating and preserving a culture of inclusion in which all of our employees feel welcomed, valued, and empowered. We’re proud to have been recognized as a Great College to Work for by the Chronicle of Higher Education every year since its. . inception.. . By joining our team, you join us in our vision. Together, we’ll shape the future of education by transforming lives—beginning with yours.","['unified force toward', 'highly proficient scrum team', 'higher education software products', 'entire software development lifecycle', 'southern new hampshire university', 'strong verbal communication skills', 'software developer ii specializing', 'individual brings unique experiences', 'experience developing integrations using rest', 'higher education every year since']"
Software Developer,"Nashua, NH",DCS Corp,"This software developer analyzes, designs and develops computer software required to support hardware or technical service products.",4 days ago,2020-11-09,,http://www.indeed.com/rc/clk?jk=816628fd09f0f1ab&fccid=1380d0d61a54c0c0&vjs=3,"This software developer analyzes, designs and develops computer software required to support hardware or technical service products. Performs systems modeling, simulation and analysis. Reviews system architecture, selects, and implements appropriate development and support tools to ensure product performance. The products are components of the military aviation mission planning enterprise.. . Essential Job Functions:. . Perform requirements analysis of software requirement specifications.. . Design and develop software components and user interfaces.. . Perform system and unit-level test activities.. . Take ownership of and responsibility for software products being developed.. . Tailor existing software to ensure product can be released to USAF’s Foreign Military Sales customers.. . Work closely with the Program’s Architect and Systems Engineering Lead to ensure software is satisfying stated requirements and meeting or exceeding customer expectations and needs.. . Support the Program’s Architect and Systems Engineering Lead to enable frequent customer meetings and presentations, including providing technical analysis & recommendations, and the development & presentation of meeting materials.. . Required Skills:. . Due to the sensitivity of customer related requirements, U.S. Citizenship is required.. . A Bachelor's degree plus 5 years of experience or a Master’s degree plus 4 years of experience is required.. . Must be able to obtain a Secret security clearance within 6-9 months.. . Able to design, develop, and work with users of software in group or individual settings.. . Experience developing Microsoft Windows software applications using C#, C++, and client applications using one or more of the following: .NET framework Windows Forms and Windows Presentation Foundation, or HTML5 / JavaScript / Typescript incorporating frameworks such as Angular or React.. . Knowledge of Automated Unit Test frameworks such as NUnit, xUnit, or Microsoft Team Test.. . Desired Skills:. . Knowledge of Agile software development methodologies.. . Knowledge and understanding of mission planning needs of military aviators.. . Knowledge and familiarity with Microsoft Team Foundation Services (TFS) and Git.","['develops computer software required', 'agile software development methodologies', 'microsoft team foundation services', 'enable frequent customer meetings', 'net framework windows forms', 'unit-level test activities', 'foreign military sales customers', 'automated unit test frameworks', 'client applications using one', 'military aviation mission planning enterprise']"
Full Stack Developer,"Manchester, NH",CCA Global Partners,"As a Full Stack Web Developer you will work with our product team to develop customer-centric web applications.
Applicant must be authorized to work in the U.S.",6 days ago,2020-11-09,,http://www.indeed.com/rc/clk?jk=4bf7de53300696e1&fccid=480b5c280fe5628f&vjs=3,"Summary. . We are looking for an intermediate level Full Stack Web Developer to join the CCA Member Solutions division at CCA Global Partners. This team of shared resources supports several early-stage businesses grow their offerings, services and sales.. . As a Full Stack Web Developer you will work with our product team to develop customer-centric web applications. You will work predominantly with Java, SQL, HTML, and Javascript.. . The right candidate should enjoy working with a small, fun and energetic team where independent thinking, transparency, and collaboration are critical to success. A strong portfolio of successful projects is required.. . Applicant must be authorized to work in the U.S.. . Duties. . Be a part of building new programs and apps to help small business thrive. Work on tech integrations that give small business access to big business tools. Develop and deploy code to production site. Consult with managerial and technical personnel to clarify program intent, identify problems, and suggest changes. Troubleshoot problems. Write or contribute to instructions or manuals to guide end users. . Requirements. . Minimum 3 years experience. Java. Spring. Javascript. MySQL. HTML. Strong written and verbal communications skills.. Self-starter who can work independently as well as in a collaborative manner to achieve team goal. . Nice To Haves. . CSS. Apache Tomcat. Linux. AWS. . Benefits. . Group medical, dental, vision, disability, life insurance. Paid time-off. 401(k) plan benefits. . Work Remotely. . Flexible work from home options available","['minimum 3 years experience', 'verbal communications skills', 'home options available', 'cca global partners', 'big business tools', 'help small business thrive', 'give small business access', 'cca member solutions division', 'full stack web developer', 'develop customer-centric web applications']"
Software Developer,"Salem, NH",ioMosaic Corporation,"Actively seek ways to improve business software processes and interactions.
Collaborate with team members to determine best practices and client requirements…",16 days ago,2020-11-09,,http://www.indeed.com/rc/clk?jk=aac77240accbed39&fccid=625067d893556c3d&vjs=3,"Software Developer. Job Purpose. The ideal candidate will serve as a member of the Software Development team. You will work alongside a team of programmers to code programs that meet the need of the company or client. Upon developing the necessary skills, you will be working as a key member of our team executing projects for the world?s largest production companies.. Duties and Responsibilities. Collaborate with team members to determine best practices and client requirements for software. Develop intuitive software that meets and exceeds the needs of the company. Professionally maintain all software and create updates regularly to address customer and company concerns. Analyze and test programs and products before formal launch. Troubleshoot coding problems quickly and efficiently to ensure a productive workplace. Ensure software security by developing programs to actively monitor the sharing of private information. Actively seek ways to improve business software processes and interactions. Aid and support the coaching and training of other team members to ensure all employees are confident in the use of software applications. . Skills and Experience. Bachelor's degree in Computer Science or equivalent.. Basic knowledge of a programming language?s syntax. Basic knowledge of a database management system. Professional program certification in Microsoft.NET framework (C# or VB.NET) is strongly preferred.. Ability to quickly learn development languages.. Can adapt to changing software requirements.","['develop intuitive software', 'actively seek ways', 'largest production companies', 'determine best practices', 'create updates regularly', 'database management system', 'professional program certification', 'improve business software processes', 'quickly learn development languages', 'troubleshoot coding problems quickly']"
Entry Level Software Engineer,"Hudson, NH",BAE Systems,"Designing, developing and testing software solutions utilizing Agile methodologies and sound software engineering principles while conforming to existing code…",30+ days ago,2020-11-09,,http://www.indeed.com/rc/clk?jk=162c2c583edf38d6&fccid=200a825acadb9338&vjs=3,"You don’t see it, but it’s there. Our employees work on the world’s most advanced electronics – from saving emissions in the City of Lights to powering the Mars Rover to protecting the F-35 fighter jet. At Electronic Systems, you’ll be among the brightest minds, working on the aerospace and defense industry’s most difficult problems. Drawing strength from our differences, we’re innovating for the future. And you can, too.. Our flexible work environment provides you a chance to change the world without giving up your personal life. We put our customers first – exemplified by our missions: “We Protect Those Who Protect Us®” and “We Innovate For Those Who Move The WorldTM.”. Sound like a team you want to be a part of? Come build your career with us.. We are looking for entry level candidates (graduated on or before August 2021) to join our ES Defense software engineering team here at BAE Systems, Inc. Entry level engineers are exposed to the full software life-cycle, from requirements development through integration and testing.. In this exciting role, you will enjoy opportunities to take on diverse and challenging work assignments, flexible scheduling with every other Friday off, an inviting and supportive culture, competitive compensation, and an excellent benefits package that includes tuition reimbursement for advanced degrees.. For those candidates in their first year after graduation, BAE’s Year One experience provides recent college graduates with a unique opportunity to jumpstart your engineering career. As part of the program, you explore different projects and technologies by participating in rotations. You also develop skills by receiving immediate mentorship from experienced managers and engineers, and participate in classes and workshops to expand your knowledge of yourself, technology and our company. Finally, you network and collaborate to make lasting connections with peers, co-workers and leadership.. . Candidates will gain experience in:. Designing, developing and testing software solutions utilizing Agile methodologies and sound software engineering principles while conforming to existing code development strategies and processesAssisting in other software engineering activities such as integration testing, algorithm & data analysis, software troubleshooting, and preparing documentation in accordance with established proceduresUtilizing either Windows PC or Linux based software development environment and either x86 or PowerPC target and test environment. ** Candidates will be considered for positions across the greater Southern NH area including Nashua, Merrimack and Hudson. **. . Please note that pursuant to a government contract, this specific position requires US citizenship status.. . . . . Required Education, Experience, & Skills. . Bachelor's degree in CS (Computer Science), CE (Computer Engineering), or other Scientific degree with suitable software engineering content. 0-2 years professional software development experience. Software coding utilizing modern programming languages (e.g. C++, C#, Java, etc). Object oriented design/development. Windows/Linux/Unix OS. Must be eligible for a US DoD security clearance. . Preferred Education, Experience, & Skills. . Real-time embedded development. GPA of 3.0 or higher is strongly preferred. Security clearance (secret or higher). . About BAE Systems Electronic Systems. . BAE Systems Electronic Systems is the global innovator behind game-changing defense and commercial electronics. Exploiting every electron, we push the limits of what is possible, giving our customers the edge and our employees opportunities to change the world. Our products and capabilities can be found everywhere – from the depths of the ocean to the far reaches of space. At our core are more than 14,000 highly talented Electronic Systems employees with the brightest minds in the industry, we make an impact – for our customers and the communities we serve.","['full software life-cycle', 'suitable software engineering content', 'existing code development strategies', 'object oriented design/development', 'real-time embedded development', 'windows/linux/unix os', 'es defense software engineering team', 'linux based software development environment', 'established proceduresutilizing either windows pc', 'global innovator behind game-changing defense']"
Web Content Developer (Contractor),"Merrimack, NH",Connection,"Working under general supervision of the Director, Creative, relying on experience and judgement to plan and accomplish goals, the Web Content Developer…",3 days ago,2020-11-09,,http://www.indeed.com/rc/clk?jk=a7ddee4dafa02f60&fccid=f8a8108a00b363f6&vjs=3,"Working under general supervision of the Director, Creative, relying on experience and judgement to plan and accomplish goals, the Web Content Developer maintains the day-to-day content across the Connection websites, blog, email and digital properties. The Web Developer (Front-End) participates in planning sessions with the Creative Team and clients. He/she works closely with the ACD or Sr. WCD to determine development requirements and provides thorough work breakdowns and time/work estimates.. Requirements. Minimum of 6 years experience in web development. HTML5, CSS, with the ability to hand code and proficiency with Mobile-compliant concepts.. Experience with a content management/authoring system (CMS) such as Sitecore, Ektron, Joomla or similar application with the ability to create and alter tree structures with minimal oversight. Familiarity with email builds and template creation within Pardot and Marketo Email platforms.. Knowledge of trends and best practices in web design, mobile, and digital engagement with the ability and desire to continue expanding knowledge in this rapidly changing field.. Ability, understanding, and desire to enhance the customer's digital experience through design, user interface, and functionality improvements and ideas.. Collaborative with the ability to work within a team environment.Experience in marketing, testing, working in creative teams implementing public websites with the ability to creatively solve problems.","['time/work estimates', 'alter tree structures', 'rapidly changing field', 'creatively solve problems', 'web content developer maintains', 'provides thorough work breakdowns', 'template creation within pardot', 'content management/authoring system', 'creative teams implementing public websites', 'day-to-day content across']"
Software Developer,"Salem, NH","Kanap Systems, LLC","Software Developer (3 openings) Modify complex applications programs from detailed specifications, & design, test, debug, document, & maintain those programs.",13 days ago,2020-11-09,,http://www.indeed.com/rc/clk?jk=d6f511812aea9f78&fccid=dd616958bd9ddc12&vjs=3,"Company : Kanap Systems, LLC.  Location :. . IT Professionals. Software Developer (3 openings) Modify complex applications programs from detailed specifications, & design, test, debug, document, & maintain those programs. Utilize techs: (Code#1) OBIEE, Oracle DB, Oracle BI, ODI, Peoplesoft HR, BI Publisher, Data Integrator, SQL Developer, LINUX, Unix, SQL Server. (Code#2) Java, J2EE, JPA, Oracle, SOAP, REST Web Services, MVC Struts, HP ALM, QTP, VBScript.. .  (Code#3) SQL, Oracle, Hadoop, AWS S3, Tableau, SAS, Business Objects, R, Python, Teradata, JIRA, TOAD, GIT, SQL Server, Sybase IQ. For all positions: Job locations in West Des Moines, IA & various unanticipated client sites nationally requiring relocation & travel to these sites involving short & long term assignments. Specify Title & code & mail resume to: Kanap Systems LLC, 4949 Pleasant St, # 200, West Des Moines,IA 50266 AttnHR","['business objects', 'sybase iq', 'job locations', '4949 pleasant st', 'ia 50266 attnhr', 'kanap systems', 'kanap systems llc', 'rest web services', 'west des moines', 'modify complex applications programs']"
Front End Developer – Web,"Bedford, NH",RedBlack Software,"Exposure to any SPA framework (Aurelia, AngularJS, Backbone.js etc.).
Experience in Ajax, REST APIs, asynchronous programming and web security.",30+ days ago,2020-11-09,,http://www.indeed.com/rc/clk?jk=7fd4b361d8679883&fccid=7aa75aefe4aa8c6d&vjs=3,"Front End Developer – Web (Experience: 3-8 years). . Exposure to any SPA framework (Aurelia, AngularJS, Backbone.js etc.). Experience in Ajax, REST APIs, asynchronous programming and web security. Knowledge of Typescript and dependency management solutions like RequireJS preferred. . Interested applicants must apply online at www.invesco.com/careers. . The above information on this description has been designed to indicate the general nature and level of work performed by employees within this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job. The job holder may be required to perform other duties as deemed appropriate by their manager from time to time.. . Our culture of inclusivity and its commitment to diversity in the workplace are demonstrated through our people practices. We are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, creed, color, religion, sex, gender, gender identity, sexual orientation, marital status, national origin, citizenship status, disability, age, or veteran status. Our equal opportunity employment efforts comply with all applicable U.S. state and federal laws governing non-discrimination in employment.","['applicable u', 'qualified applicants', 'job holder may', 'front end developer', 'dependency management solutions', 'employment without regard', 'equal opportunity employer', 'equal opportunity employment efforts comply', 'interested applicants must apply online', 'federal laws governing non-discrimination']"
Software Engineering/Development Intern,"Londonderry, NH",Kratos Defense,"Collaborate with software engineers to perform entry level software development tasks.
User interface development utilizing modern web development frameworks,…",30+ days ago,2020-11-09,,http://www.indeed.com/rc/clk?jk=2b95434321e42b82&fccid=4070376f62e46112&vjs=3,"Job Description:. . Team-oriented individual that excels in a highly technical environment. Collaborate with software engineers to perform entry level software development tasks.. User interface development utilizing modern web development frameworks, such as Angular or React (entry level). Required Experience:. . Detail oriented. Writing and verbal skills. Agile, analytical, able to successfully navigate through ambiguity, identify inefficiencies, and propose streamlined documentation solutions. Ability to work independently, proactively and connect the dots. Basic understanding of computer programming (entry level). Some College. From: Kratos Defense","['successfully navigate', 'identify inefficiencies', 'work independently', 'basic understanding', 'computer programming', 'kratos defense', 'detail oriented', 'team-oriented individual', 'highly technical environment', 'propose streamlined documentation solutions']"
Web Developer with UX Development Focus,"Manchester, NH",wedu,"Work with stakeholders to create websites, landing pages, and other HTML/CSS assets.
Develop and maintain client websites.
3+ years of professional experience:",30+ days ago,2020-11-09,"$55,000 - $65,000 a year",http://www.indeed.com/rc/clk?jk=a2ab27cb657fffb9&fccid=4e5238b7ae6afd9c&vjs=3,"Do you spend your days keeping up with the latest in development trends, hanging over the shoulder of your co-workers giving them guidance and encouragement, and pumping out awesome code? wedü has the role for you: Web Developer on our interactive team. You'll be building dynamic websites while highlighting the latest in web techniques and business-critical web-based applications for our diverse range of clients. We are looking for a dynamic technical leader who likes to get their hands dirty on the development side.. Job Responsibilities:. Work with stakeholders to create websites, landing pages, and other HTML/CSS assets. Develop and maintain client websites. Maintain up-to-date knowledge of Internet tools, trends, and developments. Embrace and promote best practices in order to create maintainable, high-performing websites, and code bases. Work within provided budget while assisting in plan and development of next budget recommendations. Required Skills & Experience:. Ability to communicate with users and stakeholders at all levels (internal and external), strong problem solving skills, proactive, willing to take ownership, and drive to keep commitments. Experience working with designers cutting up layouts to implement pixel perfect pages, and using UX design tools for improved technical development of designs. Ability to test and debug code in the development and browser environments. Experienced using and managing a source code repository (Git preferred), and job ticketing systems. 3+ years of professional experience:. Experience with LAMP based development. Expert understanding of web technologies (e.g., JavaScript, Jquery, HTML5, CSS, SASS, etc.) and modern page layout techniques (e.g., Foundation / Bootstrap). Experience developing in an MVC framework (CodeIgniter a plus). Desire to learn new technologies!. Ability to work independently, take initiative, and contribute new ideas in a fast-paced, deadline-driven team environment.. Salary Range: $55,000 - $65,000.. Location: Manchester, NH","['next budget recommendations', 'maintain client websites', 'work within provided budget', 'using ux design tools', 'implement pixel perfect pages', 'modern page layout techniques', 'deadline-driven team environment', 'strong problem solving skills', 'business-critical web-based applications', 'maintain up-to-date knowledge']"
