job_title,job_location,company_name,job_salary,description_text,keywords
Web Developer,"New York, NY",element^n,,"element^n is seeking talented and professional Web Developers. Working in a team environment with Web Interaction Developers, Web Developers are responsible for the development of all client and server side aspects of web applications, including integration with client backend systems. Web Developers are in direct contact with the needs of the customer and deliver highly tailored and visible solutions.. . . As a Web Developer you will:. Work with our cross functional teams of analysts, developers and graphic designers to translate business objectives into technical and integration specifications. . Produce standards-compliant client side code for projects with HTML, CSS & JavaScript. . Develop server-side Java code which integrates with the backend systems of our clients. . Deploy, monitor and support application code on production systems. . Assist QA staff with unit and integration testing of core application and components. . Actively contribute status and estimates in the daily agile project management (SCRUM) meetings. . Ensure that our web deliveries remain at the bleeding edge of digital design by remaining up to date on web trends and technologies. . . We are currently recruiting for junior and senior experience levels.. . We are looking for the following base skills and experience:. 1+ years experience as a web developer working hands-on with HTML, JavaScript, & CSS.. . Excellent knowledge of web application concepts, including the request/response lifecycle, session management and web application security issues (XSS & XSRF attacks, cookie security, etc). Java web application experience is preferred but solid experience with other server side technologies such as PHP will be considered.. . A passion for web trends, technologies and design. . Excellent organizational skills, with the ability to handle multiple assignments, prioritize, and ensure that all deadlines are met. . A proactive nature with resourcefulness to identify challenges and propose solutions. . Fluent written and spoken English and Arabic. . Listen to others and accepts input from team members, displaying a positive attitude and flexibility in day to day work. . Set high standards for own performance and appreciate each team member’s contribution to the project. . Flexibility to work with the client’s ideas and to create output according to the client specifications. . Ability to work under tight deadlines and changing demands. . . Senior candidates will have:. 3+ years experience innovating with web technologies. . Experience with Web 2.0 techniques and tools such as cross-domain AJAX, JSON, JQuery, Dojo, Sencha/ExtJS, and Flex or other “Rich Client” toolkits is a plus. . Advanced experience backend development experince with Java (servlet container management, web services, RMI, distributed caching, etc). . Unix scripting experience. . Experience with social networking APIs and design trends, such as integrating the Facebook Connect or OpenSocial APIs, is highly desirable.. . Experience with web performance concepts including Javascript compression, caching strategies, CDN usage and browser tweaks is also desirable.","['set high standards', 'support application code', 'server side aspects', 'java web application experience', 'web developer working hands-', 'web application security issues', 'daily agile project management', 'advanced experience backend development experince', 'develop server-side java code', 'produce standards-compliant client side code']"
Jr Developer,"New York, NY",FCB Global,,"JOB SUMMARY. . . . Comments. The junior developer is an entry-level position with 1-2 years working experience. They will be an enthusiastic team member, learning about technology trends/development and capable of collaborating with agency team members. They will assist senior technology team members in delivery of projects to improve service offerings to our clients.. . This position’s primary focus will be banners and HTML emails based on templates, and website front-end coding and styling. The junior developer will be expected to provide senior development teams with support in coding, including updates to existing code and helping to debug issues from Quality Assurance. This is a growth opportunity and the junior developer will be expected to be continually learning and demonstrating that growth within the team.. . . The junior developer should have experience working in a fast-paced environment with tight timelines, demonstrate they can multi-task, listens to others and accepts input from departmental leadership. They should possess strong written and verbal communication skills, while displaying a positive attitude and a track record of being thorough and precise.. . . . . ESSENTIAL FUNCTIONS. . . Web Development. Executes front-end development for assigned deliverables.. . Leadership. Leads and advances technology practice.. . JOB DUTIES & RESPONSIBILITIES. . . . Comments. Must know basic HTML 5 and Web Standards, with an understanding of markup hierarchy.. Must know SASS, css preprocessor and how to manipulate styles and layout in code. Also, experience with CSS animations and transitions is required.. Must have basic to moderate understanding of Javascript and Jquery, and ideally would have some experience with Gulp and/or Grunt.. . Collaborate and listen to all agency team members. Assist teams with technology needs, including explanations about digital standards and best practices. Able to apply copy edits and fixes in markup to digital projects. Articulate digital solutions to both senior technologists and non-digital audiences. Explore and share new technologies with the larger team. Understand and apply standard software development methodologies. Applies knowledge of industry trends and developments to improve service to our clients. . . . . . EDUCATION. . DEGREE/DIPLOMA. AREA OF STUDY. REQUIRED/PREFERRED. . . . LICENSES & CERTIFICATIONS. . . . N/A. . EXPERIENCE. . MIN EXPERIENCE. AREA OF EXPERIENCE. REQUIRED/PREFERRED. . . 1 year. Web Design or Development Services, Ideally in Digital Consulting or Digital Agency. . KNOWLEDGE & SKILLS. . . Presentation Layer. Demonstrates the ability to program in HTML, CSS, JavaScript (Jquery). . Adobe Creative Suite. Solid knowledge in Adobe Creative Suite (Photoshop, InDesign, Illustrator). . Application Development. Demonstrates proficiency with website development. . Computer Hardware & Software. Must be competent with all major Internet browsers. . Computer Hardware & Software. Familiar with tablet devices (Android, iPad) and smartphones. Veva.. . Computer Hardware & Software. Able to use both PC and Mac. . COMPETENCIES. . . Positive Attitude. Displays a positive attitude.. . Communication. Is attentive and shows interest in the subject; Expresses ideas clearly and accurately. . Accountability. Demonstrates and communicates a high level of ownership and commitment to achieving result; Takes responsibility for one's own actions and decisions, and their consequences. . Collaboration. Ability to work effectively in team environment with individuals of all agency levels.. . Collaboration. Ability to work effectively in a team environment to build and foster collaborative environment. . Composure. Maintains a calm demeanor under pressure.. . Critical Thinking. Asks probing questions; anticipates and addresses critical business gaps and needs. . Detail Orientation. Acute attention to detail, with an emphasis on consistency and continuity.. . Efficiency. Ability to work quickly and efficiently in a fast paced environment.. . OTHER INFORMATION. . . . Comments. Travel may be required for internal meetings and training. . . . . . STATEMENT OF UNDERSTANDING. . . . We are providing you with this job description as a guideline for your role. Based on your team, your role may vary slightly and you may perform other duties or have other responsibilities that are dictated by business needs. However, if you think that there are elements of this job description that are inaccurate, please speak with your manager and/or HR Partner.. . In addition, this job description is not intended to include modifications consistent with providing reasonable accommodation for a disability.. . . Qualifications. . JOB SUMMARY. . . . Comments. The junior developer is an entry-level position with 1-2 years working experience. They will be an enthusiastic team member, learning about technology trends/development and capable of collaborating with agency team members. They will assist senior technology team members in delivery of projects to improve service offerings to our clients.. . This position’s primary focus will be banners and HTML emails based on templates, and website front-end coding and styling. The junior developer will be expected to provide senior development teams with support in coding, including updates to existing code and helping to debug issues from Quality Assurance. This is a growth opportunity and the junior developer will be expected to be continually learning and demonstrating that growth within the team.. . . The junior developer should have experience working in a fast-paced environment with tight timelines, demonstrate they can multi-task, listens to others and accepts input from departmental leadership. They should possess strong written and verbal communication skills, while displaying a positive attitude and a track record of being thorough and precise.. . . . . ESSENTIAL FUNCTIONS. . . Web Development. Executes front-end development for assigned deliverables.. . Leadership. Leads and advances technology practice.. . JOB DUTIES & RESPONSIBILITIES. . . . Comments. Must know basic HTML 5 and Web Standards, with an understanding of markup hierarchy.. Must know SASS, css preprocessor and how to manipulate styles and layout in code. Also, experience with CSS animations and transitions is required.. Must have basic to moderate understanding of Javascript and Jquery, and ideally would have some experience with Gulp and/or Grunt.. . Collaborate and listen to all agency team members. Assist teams with technology needs, including explanations about digital standards and best practices. Able to apply copy edits and fixes in markup to digital projects. Articulate digital solutions to both senior technologists and non-digital audiences. Explore and share new technologies with the larger team. Understand and apply standard software development methodologies. Applies knowledge of industry trends and developments to improve service to our clients. . . . . . EDUCATION. . DEGREE/DIPLOMA. AREA OF STUDY. REQUIRED/PREFERRED. . . . LICENSES & CERTIFICATIONS. . . . N/A. . EXPERIENCE. . MIN EXPERIENCE. AREA OF EXPERIENCE. REQUIRED/PREFERRED. . . 1 year. Web Design or Development Services, Ideally in Digital Consulting or Digital Agency. . KNOWLEDGE & SKILLS. . . Presentation Layer. Demonstrates the ability to program in HTML, CSS, JavaScript (Jquery). . Adobe Creative Suite. Solid knowledge in Adobe Creative Suite (Photoshop, InDesign, Illustrator). . Application Development. Demonstrates proficiency with website development. . Computer Hardware & Software. Must be competent with all major Internet browsers. . Computer Hardware & Software. Familiar with tablet devices (Android, iPad) and smartphones. Veva.. . Computer Hardware & Software. Able to use both PC and Mac. . COMPETENCIES. . . Positive Attitude. Displays a positive attitude.. . Communication. Is attentive and shows interest in the subject; Expresses ideas clearly and accurately. . Accountability. Demonstrates and communicates a high level of ownership and commitment to achieving result; Takes responsibility for one's own actions and decisions, and their consequences. . Collaboration. Ability to work effectively in team environment with individuals of all agency levels.. . Collaboration. Ability to work effectively in a team environment to build and foster collaborative environment. . Composure. Maintains a calm demeanor under pressure.. . Critical Thinking. Asks probing questions; anticipates and addresses critical business gaps and needs. . Detail Orientation. Acute attention to detail, with an emphasis on consistency and continuity.. . Efficiency. Ability to work quickly and efficiently in a fast paced environment.. . OTHER INFORMATION. . . . Comments. Travel may be required for internal meetings and training. . . . . . STATEMENT OF UNDERSTANDING. . . . We are providing you with this job description as a guideline for your role. Based on your team, your role may vary slightly and you may perform other duties or have other responsibilities that are dictated by business needs. However, if you think that there are elements of this job description that are inaccurate, please speak with your manager and/or HR Partner.. . In addition, this job description is not intended to include modifications consistent with providing reasonable accommodation for a disability.. . . Primary Location: United States-New York-New York City. Job: Digital Production. Organization: FCB Health","['must know basic html 5', 'share new technologies', 'role may vary slightly', 'website front-end coding', 'provide senior development teams', 'addresses critical business gaps', 'executes front-end development', 'assist senior technology team members', 'apply standard software development methodologies', 'united states-new york-new york city']"
Junior Web Developer,"New York, NY",Crunchapps,,"Join an Innovative Deep Learning team with the opportunity to be creative while supporting ever-changing technology.. Our Ideal Candidate Is/Has. 1+ years experience with website design. Great HTML and CSS skills, experience developing web sites without templates. Graphic design experience strongly preferred. JavaScript. Good collaboration, teamwork, and learning skills. RWD. Nice to haves. Image processing / production skills and experience with InDesign, Photoshop, and Illustrator","['great html', 'good collaboration', '1+ years experience', 'css skills', 'website design', 'learning skills', 'image processing / production skills', 'innovative deep learning team', 'supporting ever-changing technology', 'graphic design experience strongly preferred']"
Software / Web Developer,"New York, NY",Source Enterprises,,"Source Enterprises is now hiring for immediate start on a number of commercial internet projects. Work with and learn from the best creative developers in the industry. Invaluable experience that will greatly increase your skills, capabilities, and value to employers. You can apply here or directly on our website.. . A position at Source Enterprises is a rich experience that cannot be duplicated in any other learning/ working environment. Not only will you learn skills that will last you a lifetime, but you will develop relationships and training that could set you up for a full- time job at Source Enterprises or one of its subsidiaries.. . Learn at an accelerated rate. No wasted time or effort. Acquire the most in-demand skills in the industry. Your opportunity to gain knowledge on how an internet company executes to get to the top of the search engines and capitalizes on under-explored niches. Start-Up experience is an asset for your future in every situation. Some of our former interns (on the software development side as well as graphic design and marketing dept.) have been recruited by Google, Disney, Amazon, Microsoft, Warner Brothers, Creative Artists Agency to name a few.. . Many of our team members have chosen to stay on with us because of the potential future gains. Real world experience is highly sought after by all industry leaders more than ever before.. . We are looking for ambitious talent or student to work with our experienced Chief Technology Officer, Chief Creative Officer, Creative Director and other experienced team members.. . We are especially interested in individuals with knowledge of Joomla CMS. Proficiency with HTML5 and CSS3 are a definite plus, as is a highly organized and detailed work ethic and a strong drive to succeed.. . We also have opportunities for promising talent in the areas of Web Design, Graphic Design, Internet Marketing and SEO. Get training from industry experts and work experience on commercial projects.. . Hands-on training in various Web Development and UIX software:. DreamweaverHTML5PHPCSS3JavascriptJoomla CMSDedicated Server AdministrationAdobe Creative Suite CS6. . Work on high-end dynamic websites and e-commerce platforms. Get provided the tools and skills to succeed in Internet Development and Design.. . There is a lot of scope for working from home and flexible hours to accommodate productive work-flow.. Part time at our office in Newport Beach, part time from home.. . Please send a resume and links to a portfolio or example sites; or attach pictures to an email.. Full-time positions availableFlexible at home positions availableCompensation dependent on experience and evaluation after 90 days. . Requirements:. . – Technology savvy. – Excellent writing skills. – Excellent phone skills. – Very organized. – Independent work ethic. – Detail oriented. – Strong drive to succeed. – Entrepreneurial mindset. – Outgoing and engaging. – Proactive. . Responsibilities:. . – Work with and support other Designers, Programmers, Art and Creative Directors on high-end websites.. – Develop your skills and augment your training with directed research in your very specific tasks.. – Use the online productivity platform Asana to organize and keep track of your completed tasks.. – Get constant feedback and suggestions on how to improve your UI and code.. – Break through barriers and confusion by working with the team before you are frustrated with tasks.. – Be certain you are studying and practicing the most important daily skills you need to be an elite level developer.","['elite level developer', 'full- time job', 'chief creative officer', 'high-end websites', 'experienced chief technology officer', 'accommodate productive work-flow', 'home positions availablecompensation dependent', 'full-time positions availableflexible', 'high-end dynamic websites', 'online productivity platform asana']"
Front End Web Developer,"New York, NY",Design Group Americas,,"CSS Industries, Inc. is now part of IG Design Group Americas! Design Group Americas is the world’s largest gift packaging company, producing paper, décor, creative play and dated good products for millions of customers throughout the United States and beyond. We transform paper and a whole lot more into products that help the world celebrate life’s special occasions. We are proud to serve the best retailers around the globe with a complete end-to-end service from design to distribution.. . . What can we offer you?. . Opportunities to learn, grow, and impact the Company,. a fun work environment allowing your creativity to flourish and thrive,. a comprehensive employee benefits package,. flexibility,. and so much more!. . . Responsibilities:. . Developing eCommerce websites on BigCommerce platform. Developing custom BigCommerce themes. Migrating websites from other eCommerce platforms to BigCommerce. Extending BigCommerce functionalities to next level using storefront APIs, Stencil util-API. Integrating extensions and third-party apps to extend the native capabilities of BigCommerce websites. Setting up payment integration, shipping methods and taxation on BigCommerce platform. Optimizing page speed of BigCommerce Sites. Transforming complex PSD layouts into pixel-perfect presentation layer HTML5/CSS3 templates. Creating responsive website designs. Working with version control systems such as GIT / SVN. Working under tight deadlines. Handling multiple projects at the same time. Producing high-quality work with a strong focus on detail. . . Qualifications:. . A minimum of 2 years of experience in BigCommerce website development. Expert knowledge of BigCommerce platform. An expertise in BigCommerce theme development and customization. Expert level knowledge of BigCommerce Stencil framework (handlebars, front matters etc). Comfortability working with Storefront APIs and Stencil util-APIs. An expertise in HTML5, CSS3 and JavaScript/ECMA Script 5/6. An expertise in JavaScript libraries (eg: jQuery). A thorough understanding of cross-browser compatibility issues. Strong understanding of responsive web design techniques. Understanding of W3C web standards/semantics and accessibility guidelines. A knowledge of SEO/CRO best practices on BigCommerce sites. An ability to work on multiple projects and tasks at the same time. A great attention to detail and be highly organized. A positive and upbeat attitude with the ability to learn quickly. A leader and self-starter. Experience with ReactJS/AngularJS (preferred). Proficiency in PHP/MYSQL and AJAX (preferred). Passion to build and treat the business as a startup by acting as a leader with self-starter skills. A reliable workstation with a fast computer, microphone and speakers, webcam, reliable internet and power if working remotely. BigCommerce certification (preferred). Experience with IIS Web Server Configuration. Experience with implementing domain re-directs. . . All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.. Required Skills. . Required Experience","['seo/cro best practices', 'comprehensive employee benefits package', 'transforming complex psd layouts', 'cross-browser compatibility issues', 'w3c web standards/semantics', 'iis web server configuration', 'implementing domain re-directs', 'next level using storefront apis', 'complete end-to-end service', 'pixel-perfect presentation layer html5/css3 templates']"
Jr Web Developer,"New York, NY",Trailblaze Growth Advisors,,"Responsibilities. Designing, developing, and testing WP and other CMS platforms.. Presenting: Must have excellent communication skills. The ability to explain technical details in layman’s terms.. Experience, understanding and enthusiasm for UI/UX web design.. Collaborate with team members to identify and prioritize/reprioritize work when necessary.. Facilitate requirements gathering efforts and clearly document system requirements.. Develop strong working relationships with team.. Anticipate and adjust for problems and roadblocks while eliminating roadblocks within control.. Remain abreast of current technologies and best practices.. Comfortable working on a variety of projects at one time.. Requirements. Bachelor’s degree in computer science, software engineering or relevant business discipline from an accredited four-year college or university or equivalent work experience is preferred.. A minimum of 5 years professional application development and operation experience in a production setting.. Solid experience developing web applications using open source technologies.. Facility with Marketing automation tools (eg. Pardot; ActiveCampaign; etc.). Experience adapting layouts created in Sketch and Adobe XD.. Working knowledge of concurrency and multi-threading in long running daemon processes.. In-depth understanding of Relational Database Management software, preferably PostgreSQL, MySQL, and MS SQL Server.. Experienced in testing software all the way from unit testing to system testing to integration testing.","['clearly document system requirements', 'eliminating roadblocks within control', 'experience adapting layouts created', 'develop strong working relationships', 'relational database management software', 'facilitate requirements gathering efforts', 'ui/ux web design', 'accredited four-year college', '5 years professional application development', 'long running daemon processes']"
Front End Theme Developer-SIDEARM Sports,New York State,Learfield IMG College,,"An industry leader for more than four decades, Learfield IMG College has a deep presence in the college athletics landscape nationwide. It manages the multimedia and sponsorship rights for nearly 250 collegiate institutions, conferences and arenas, and supports athletic departments at all competitive levels as title sponsor of the prestigious Learfield IMG College Directors' Cup.. . Our people-friendly culture is a hallmark of our style and approach to business and is rooted in values demonstrating intentional and active care for other people. The company and its employees strive each day to live by the company's value statement: ""build the team, grow the company, have fun, love and serve others."". . About SIDEARM Sports. . The team at SIDEARM provides the technology platform that powers the official websites, mobile apps, statistical integration, live audio and video streaming, and e-commerce platforms of more than 1,300 collegiate athletic partners across the nation, including 300 NCAA Division I programs, and over 50 of the 65 Power 5 athletic departments. We are proud that the work we do is experienced by millions of sports fans each year.. . We are actively accepting applications for a Front End Theme Developer. to join our development team. In this role, you'll focus on collaborating with our creative team to implement their designs with the SIDEARM software and digital products.. . Responsibilities:. . Develop innovative front-end client facing web sites. Integrate site designs into pixel perfect web experiences while closely working with our design and project management teams. Work on improving and optimizing our frontend platform. . Our Ideal candidate:. . You've got serious front-end skills. You'll be responsible for writing the responsive HTML, CSS and JS that bring our websites to life, and you enjoy creating interactive user experiences.. . You are a problem solver. You'll work collaboratively with your team to ensure design feasibility and solve coding challenges. . You enjoy learning. We are a technology-focused organization that is constantly evolving our products, services, and work processes, learning together how we can best serve our clients.. . You are accountable. SIDEARM is a team of various talents and responsibilities, all working together to build products that connect with our clients and fans. Every member of our team works cohesively to solve problems and complete the task at hand.. You are detail oriented. Our ideal candidate has the ability to craft pixel perfect designs. Our industry is constantly evolving, and we are looking for skilled developers who have an eye for detail.. . You are flexible. With more than 1,000 collegiate athletic partners, every day is a new opportunity to experience and grow as a valuable team member. Our ideal candidate is agile and looking for a challenge.. . Minimum Requirements :. . 2-3 years of professional front end development experience. Advanced understanding of HTML and CSS. Advanced understanding of JavaScript. Exposure to responsive design techniques. . We'll be extra impressed if you have:. . Experience with LESS, SCSS or CSS preprocessors. Experience with any modern frontend JavaScript framework, Vue/Angular/React/Knockout. Understanding of semantic HTML, ARIA, and WCAG 2.0","['300 collegiate athletic partners across', 'craft pixel perfect designs', 'college athletics landscape nationwide', 'vue/angular/react/knockout', 'pixel perfect web experiences', 'front end theme developer', 'professional front end development experience', 'prestigious learfield img college directors', 'enjoy creating interactive user experiences', 'got serious front-end skills']"
Front End Theme Developer,New York State,SIDEARM Sports,,"An industry leader for more than four decades, Learfield IMG College has a deep presence in the college athletics landscape nationwide. It manages the multimedia and sponsorship rights for nearly 250 collegiate institutions, conferences and arenas, and supports athletic departments at all competitive levels as title sponsor of the prestigious Learfield IMG College Directors' Cup.. . Our people-friendly culture is a hallmark of our style and approach to business and is rooted in values demonstrating intentional and active care for other people. The company and its employees strive each day to live by the company's value statement: ""build the team, grow the company, have fun, love and serve others."". . About SIDEARM Sports. . The team at SIDEARM provides the technology platform that powers the official websites, mobile apps, statistical integration, live audio and video streaming, and e-commerce platforms of more than 1,300 collegiate athletic partners across the nation, including 300 NCAA Division I programs, and over 50 of the 65 Power 5 athletic departments. We are proud that the work we do is experienced by millions of sports fans each year.. . We are actively accepting applications for a Front End Theme Developer. to join our development team. In this role, you'll focus on collaborating with our creative team to implement their designs with the SIDEARM software and digital products.. . Responsibilities:. . Develop innovative front-end client facing web sites. Integrate site designs into pixel perfect web experiences while closely working with our design and project management teams. Work on improving and optimizing our frontend platform. . Our Ideal candidate:. . You've got serious front-end skills. You'll be responsible for writing the responsive HTML, CSS and JS that bring our websites to life, and you enjoy creating interactive user experiences.. . You are a problem solver. You'll work collaboratively with your team to ensure design feasibility and solve coding challenges. . You enjoy learning. We are a technology-focused organization that is constantly evolving our products, services, and work processes, learning together how we can best serve our clients.. . You are accountable. SIDEARM is a team of various talents and responsibilities, all working together to build products that connect with our clients and fans. Every member of our team works cohesively to solve problems and complete the task at hand.. You are detail oriented. Our ideal candidate has the ability to craft pixel perfect designs. Our industry is constantly evolving, and we are looking for skilled developers who have an eye for detail.. . You are flexible. With more than 1,000 collegiate athletic partners, every day is a new opportunity to experience and grow as a valuable team member. Our ideal candidate is agile and looking for a challenge.. . Minimum Requirements :. . 2-3 years of professional front end development experience. Advanced understanding of HTML and CSS. Advanced understanding of JavaScript. Exposure to responsive design techniques. . We'll be extra impressed if you have:. . Experience with LESS, SCSS or CSS preprocessors. Experience with any modern frontend JavaScript framework, Vue/Angular/React/Knockout. Understanding of semantic HTML, ARIA, and WCAG 2.0","['300 collegiate athletic partners across', 'craft pixel perfect designs', 'college athletics landscape nationwide', 'vue/angular/react/knockout', 'pixel perfect web experiences', 'front end theme developer', 'professional front end development experience', 'prestigious learfield img college directors', 'enjoy creating interactive user experiences', 'got serious front-end skills']"
Web & Mobile Application Developer,"Poughkeepsie, NY",Central Hudson,,"Benefits :. Competitive compensation. Medical, Dental, and Vision insurance. 401(k) Retirement Savings Plan with substantial company match. Life and Travel Insurance. Tuition Assistance. Wellness Reimbursement Program. Paid Holidays and Vacation. What is a Web & Mobile Application Developer?. The Web & Mobile Application Developer is an experienced individual contributor role within the Information Technology Development group which supports the company’s critical business management, field operations, and digital interactive customer-facing systems. This position focuses on developing improvements to our web and mobile application platforms in order to uphold and enhance the digital customer experience. The team develops and provides routine daily support for enterprise-wide information systems and technology solutions, including our customer self-service portal and customer mobile application. Responsibilities may change as the needs of the department evolve.. What does a Web & Mobile Application Developer do?. Responsible activities include:. Configuration, programming, testing, and support of the company’s critical business management, field operations and digital interactive customer-facing systems. Defining, developing, and implementing new digital interactive self-service features on web and mobile platforms. Enhancing existing business systems and providing routine daily support for these systems. What does it take to be a Web & Mobile Application Developer?. Required:. Bachelor’s degree and at least 5 years of software development experience. In lieu of a Bachelor’s degree, an Associate’s degree and at least 7 years of software development experience.. Proficient in .NET, JavaScript, TypeScript, HTML, CSS. Experience in the requirements definition, design, development, and testing of applications. Must be able to adapt to and manage a variety of assignments and deadlines, scope/size projects, and work well under pressure. Must be comfortable working in a team environment and independently with minimal supervision. Strong interpersonal skills and the ability to work with internal customers and vendors; coordinates activities with other technical staff and contractors as required. Strong organizational, analytic, problem solving, and decision-making skills and the ability to discern critical from minor problems. Excellent verbal and written communication skills. Valid driver's license. Preferred:. Degree in Computer Science, Software Development, Computer Information Systems, Information Technology or STEM field. C# programming experience and proficiency in SOAP & XML. Experience with Continuous Delivery, Agile Development principles, and developing mobiles apps for iOS & Android. Experience with Xamarin or other mobile development framework tools for building cross-platform mobile apps and EPiServer CMS or other web content management software tools. Experience in customer interactive web or mobile development. Experience with the development of strategies and implementation of best practices. Experience leading technical projects, supervising teams or individuals; project/team leadership skills. Experience with SAP S/4HANA and C4C, SAP Multichannel Foundation for Utilities and Public Sector. Experience in Energy & Utilities or services industry. Experience in a regulated and/or co-sourced environment. Master’s degree. Please go to https://www.cenhud.com/employment . Click the “Search Career Opportunities” button. Follow the directions to submit an application and upload your resume for the desired position.. Applications sent via e-mail and US Mail will not be accepted. No phone calls or agencies, please. All replies will be held in strict confidence.. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Central Hudson Gas & Electric Corporation takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.. VEVRAA FEDERAL CONTRACTOR","['mobile development framework tools', 'enterprise-wide information systems', 'enhancing existing business systems', 'customer self-service portal', '“search career opportunities” button', 'web content management software tools', 'applications sent via e-mail', 'digital interactive customer-facing systems', 'building cross-platform mobile apps', 'experienced individual contributor role within']"
WEB DEVELOPER,"New York, NY",ShowMe,,"Someone who can get things done, to help us innovate and change the face of learning. Regardless of any particular languages you're used to; you should be able to adapt and learn as necessary. As the ShowMe team grows, you will also come to direct full time employees and interns under you.. ABOUT US. ShowMe was started by a couple guys who wanted to change the way people learn. Today we have hundreds of thousands of users, and have received funding from an amazing group of investors (TechCrunch coverage).. SUMMARY. As a developer at ShowMe, you'll define our direction going forward. If you’ve ever wanted to grow a project from idea to mockup to implementation, this job is perfect for you. If you're up for the challenge, send us the following:. Examples of projects you've worked on, and your role in each. Cover letter. Resume. Compensation is extremely competitive, and includes weekly happy hour drinks and the occasional free lunch.","['techcrunch coverage', 'cover letter', 'extremely competitive', 'showme team grows', 'way people learn', 'get things done', 'direction going forward', 'occasional free lunch', 'direct full time employees', 'includes weekly happy hour drinks']"
